"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.65520388653481e-147,0.551654908066742,0.514,0.382,4.98398442274498e-143,"0","DECR1"
4.25631765693143e-147,0.642991957263352,0.492,0.36,1.28161980967862e-142,"0","SPTAN1"
1.39515911631212e-146,0.328659174503943,0.834,0.705,4.20096361512744e-142,"0","PDIA6"
2.1056651804828e-146,0.470783069694964,0.649,0.517,6.34036842495176e-142,"0","GPC6"
2.6216459637944e-146,0.884840557196659,0.309,0.185,7.89403816158133e-142,"0","NUB1"
3.15076350227146e-146,0.583497413934356,0.501,0.363,9.4872639816896e-142,"0","PDZRN3"
4.16844906586737e-146,0.465356485073101,0.627,0.497,1.25516169822332e-141,"0","GOLM1"
1.09272533659303e-145,0.33869636170316,0.841,0.721,3.29030526101527e-141,"0","SEC62"
1.11539461338802e-145,0.317865354423105,0.753,0.624,3.35856472037265e-141,"0","DDX5"
3.60850399827903e-143,0.639037721196098,0.457,0.324,1.0865566389218e-138,"0","NFIC"
1.86139652190717e-142,0.746362955550163,0.355,0.223,5.60485106711467e-138,"0","AFF2"
9.4973438174851e-142,0.345468504110949,0.784,0.655,2.85974519688294e-137,"0","RCN2"
1.14433196285635e-141,0.393097346536055,0.697,0.573,3.44569797335675e-137,"0","SRRM1"
3.95047815320248e-140,1.09082564269572,0.283,0.167,1.1895284767108e-135,"0","DIO3OS"
5.18159244177836e-140,0.514513512031008,0.586,0.463,1.56022930014388e-135,"0","N4BP2L2"
8.48154483098482e-140,0.317824716610394,0.727,0.604,2.55387796405784e-135,"0","SQSTM1"
1.03811301459033e-139,0.66267647288194,0.444,0.313,3.12586209823294e-135,"0","SIK2"
1.23496649689738e-139,0.551773970803254,0.54,0.414,3.71860761880769e-135,"0","NME3"
7.99406066175367e-137,0.767073808925974,0.37,0.244,2.40709160586065e-132,"0","MIA3"
5.71907199084086e-136,0.599984167278041,0.43,0.298,1.72206976716209e-131,"0","GOLGB1"
7.08790567621041e-136,0.288515800585559,0.921,0.805,2.13423927816372e-131,"0","PPIB"
